pid = 4676, 46	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 47	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 48	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 49	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 50	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 51	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 52	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 53	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 54	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 55	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 56	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 57	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 58	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 59	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 60	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 61	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 62	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 63	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 64	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 65	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 66	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 67	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 68	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
pid = 4676, 69	 hello a's addr = 7fff9afd7718	p addr = 7fff9afd7710	p point addr = 1b6b7010	q addr = 7fff9afd7708	q point addr = 1b6b7030
